Model,MDO32
Firmware Version,1.12.15

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-07
Horizontal Delay,6.78229e-07
Sample Interval,2e-09
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,2.76
,
,
,
Label,
TIME,CH1
-3.218e-07,-4.44089e-17
-3.198e-07,-4.44089e-17
-3.178e-07,-4.44089e-17
-3.158e-07,-4.44089e-17
-3.138e-07,-0.004
-3.118e-07,-0.004
-3.098e-07,-0.004
-3.078e-07,-4.44089e-17
-3.058e-07,-4.44089e-17
-3.038e-07,-4.44089e-17
-3.018e-07,-0.004
-2.998e-07,-4.44089e-17
-2.978e-07,-4.44089e-17
-2.958e-07,-0.004
-2.938e-07,-0.004
-2.918e-07,-4.44089e-17
-2.898e-07,-4.44089e-17
-2.878e-07,-0.004
-2.858e-07,-0.004
-2.838e-07,-4.44089e-17
-2.818e-07,-0.004
-2.798e-07,-4.44089e-17
-2.778e-07,-4.44089e-17
-2.758e-07,-0.004
-2.738e-07,-0.004
-2.718e-07,-4.44089e-17
-2.698e-07,-4.44089e-17
-2.678e-07,0.004
-2.658e-07,-4.44089e-17
-2.638e-07,-4.44089e-17
-2.618e-07,-4.44089e-17
-2.598e-07,-0.004
-2.578e-07,-4.44089e-17
-2.558e-07,-4.44089e-17
-2.538e-07,-0.004
-2.518e-07,-0.004
-2.498e-07,-4.44089e-17
-2.478e-07,-4.44089e-17
-2.458e-07,-0.004
-2.438e-07,-0.004
-2.418e-07,-0.004
-2.398e-07,-4.44089e-17
-2.378e-07,-4.44089e-17
-2.358e-07,-4.44089e-17
-2.338e-07,-4.44089e-17
-2.318e-07,-4.44089e-17
-2.298e-07,0.004
-2.278e-07,-4.44089e-17
-2.258e-07,-4.44089e-17
-2.238e-07,-4.44089e-17
-2.218e-07,-4.44089e-17
-2.198e-07,-4.44089e-17
-2.178e-07,-4.44089e-17
-2.158e-07,-4.44089e-17
-2.138e-07,-4.44089e-17
-2.118e-07,-4.44089e-17
-2.098e-07,-4.44089e-17
-2.078e-07,-4.44089e-17
-2.058e-07,-4.44089e-17
-2.038e-07,-4.44089e-17
-2.018e-07,0.004
-1.998e-07,-4.44089e-17
-1.978e-07,-4.44089e-17
-1.958e-07,-4.44089e-17
-1.938e-07,-4.44089e-17
-1.918e-07,-0.004
-1.898e-07,-4.44089e-17
-1.878e-07,-0.004
-1.858e-07,-0.004
-1.838e-07,-4.44089e-17
-1.818e-07,-4.44089e-17
-1.798e-07,-4.44089e-17
-1.778e-07,-4.44089e-17
-1.758e-07,-0.004
-1.738e-07,-0.004
-1.718e-07,0.004
-1.698e-07,-0.004
-1.678e-07,-4.44089e-17
-1.658e-07,-4.44089e-17
-1.638e-07,-4.44089e-17
-1.618e-07,-0.004
-1.598e-07,-4.44089e-17
-1.578e-07,-0.004
-1.558e-07,-4.44089e-17
-1.538e-07,-0.004
-1.518e-07,-0.004
-1.498e-07,-4.44089e-17
-1.478e-07,-4.44089e-17
-1.458e-07,-4.44089e-17
-1.438e-07,-4.44089e-17
-1.418e-07,-4.44089e-17
-1.398e-07,-4.44089e-17
-1.378e-07,-4.44089e-17
-1.358e-07,-4.44089e-17
-1.338e-07,-4.44089e-17
-1.318e-07,-4.44089e-17
-1.298e-07,-4.44089e-17
-1.278e-07,-0.004
-1.258e-07,-4.44089e-17
-1.238e-07,-4.44089e-17
-1.218e-07,-4.44089e-17
-1.198e-07,-4.44089e-17
-1.178e-07,-4.44089e-17
-1.158e-07,-4.44089e-17
-1.138e-07,-4.44089e-17
-1.118e-07,-4.44089e-17
-1.098e-07,-4.44089e-17
-1.078e-07,-0.004
-1.058e-07,-4.44089e-17
-1.038e-07,-4.44089e-17
-1.018e-07,-4.44089e-17
-9.977e-08,-4.44089e-17
-9.777e-08,-4.44089e-17
-9.577e-08,-0.004
-9.377e-08,-4.44089e-17
-9.177e-08,-4.44089e-17
-8.977e-08,-4.44089e-17
-8.777e-08,-4.44089e-17
-8.577e-08,-4.44089e-17
-8.377e-08,-4.44089e-17
-8.177e-08,-4.44089e-17
-7.977e-08,-4.44089e-17
-7.777e-08,-4.44089e-17
-7.577e-08,-4.44089e-17
-7.377e-08,-4.44089e-17
-7.177e-08,-4.44089e-17
-6.977e-08,-0.004
-6.777e-08,-4.44089e-17
-6.577e-08,-4.44089e-17
-6.377e-08,-4.44089e-17
-6.177e-08,-4.44089e-17
-5.977e-08,-4.44089e-17
-5.777e-08,-4.44089e-17
-5.577e-08,-0.004
-5.377e-08,-4.44089e-17
-5.177e-08,-0.004
-4.977e-08,-0.004
-4.777e-08,-4.44089e-17
-4.577e-08,-4.44089e-17
-4.377e-08,-0.004
-4.177e-08,-0.004
-3.977e-08,-4.44089e-17
-3.777e-08,-0.004
-3.577e-08,-4.44089e-17
-3.377e-08,-4.44089e-17
-3.177e-08,-4.44089e-17
-2.977e-08,-0.004
-2.777e-08,-4.44089e-17
-2.577e-08,-4.44089e-17
-2.377e-08,-4.44089e-17
-2.177e-08,-4.44089e-17
-1.977e-08,-4.44089e-17
-1.777e-08,-4.44089e-17
-1.577e-08,-4.44089e-17
-1.377e-08,-4.44089e-17
-1.177e-08,-4.44089e-17
-9.771e-09,-0.004
-7.771e-09,-4.44089e-17
-5.771e-09,-0.008
-3.771e-09,-0.112
-1.771e-09,-0.396
2.293e-10,-0.472
2.229e-09,-0.332
4.229e-09,-0.292
6.229e-09,-0.312
8.229e-09,-0.384
1.023e-08,-0.316
1.223e-08,-0.308
1.423e-08,-0.388
1.623e-08,-0.344
1.823e-08,-0.336
2.023e-08,-0.296
2.223e-08,-0.348
2.423e-08,-0.344
2.623e-08,-0.28
2.823e-08,-0.248
3.023e-08,-0.268
3.223e-08,-0.288
3.423e-08,-0.292
3.623e-08,-0.264
3.823e-08,-0.228
4.023e-08,-0.224
4.223e-08,-0.24
4.423e-08,-0.244
4.623e-08,-0.28
4.823e-08,-0.304
5.023e-08,-0.304
5.223e-08,-0.276
5.423e-08,-0.232
5.623e-08,-0.212
5.823e-08,-0.272
6.023e-08,-0.312
6.223e-08,-0.268
6.423e-08,-0.248
6.623e-08,-0.232
6.823e-08,-0.232
7.023e-08,-0.204
7.223e-08,-0.212
7.423e-08,-0.228
7.623e-08,-0.192
7.823e-08,-0.188
8.023e-08,-0.192
8.223e-08,-0.184
8.423e-08,-0.24
8.623e-08,-0.196
8.823e-08,-0.184
9.023e-08,-0.204
9.223e-08,-0.18
9.423e-08,-0.16
9.623e-08,-0.176
9.823e-08,-0.216
1.002e-07,-0.208
1.022e-07,-0.188
1.042e-07,-0.236
1.062e-07,-0.232
1.082e-07,-0.216
1.102e-07,-0.204
1.122e-07,-0.164
1.142e-07,-0.176
1.162e-07,-0.224
1.182e-07,-0.216
1.202e-07,-0.188
1.222e-07,-0.232
1.242e-07,-0.192
1.262e-07,-0.148
1.282e-07,-0.16
1.302e-07,-0.14
1.322e-07,-0.124
1.342e-07,-0.128
1.362e-07,-0.152
1.382e-07,-0.132
1.402e-07,-0.156
1.422e-07,-0.192
1.442e-07,-0.168
1.462e-07,-0.132
1.482e-07,-0.12
1.502e-07,-0.14
1.522e-07,-0.16
1.542e-07,-0.152
1.562e-07,-0.104
1.582e-07,-0.128
1.602e-07,-0.184
1.622e-07,-0.152
1.642e-07,-0.152
1.662e-07,-0.152
1.682e-07,-0.144
1.702e-07,-0.14
1.722e-07,-0.132
1.742e-07,-0.116
1.762e-07,-0.128
1.782e-07,-0.16
1.802e-07,-0.156
1.822e-07,-0.132
1.842e-07,-0.14
1.862e-07,-0.152
1.882e-07,-0.148
1.902e-07,-0.108
1.922e-07,-0.1
1.942e-07,-0.12
1.962e-07,-0.16
1.982e-07,-0.124
2.002e-07,-0.132
2.022e-07,-0.164
2.042e-07,-0.18
2.062e-07,-0.14
2.082e-07,-0.168
2.102e-07,-0.152
2.122e-07,-0.128
2.142e-07,-0.116
2.162e-07,-0.124
2.182e-07,-0.128
2.202e-07,-0.136
2.222e-07,-0.176
2.242e-07,-0.164
2.262e-07,-0.124
2.282e-07,-0.1
2.302e-07,-0.124
2.322e-07,-0.128
2.342e-07,-0.112
2.362e-07,-0.1
2.382e-07,-0.12
2.402e-07,-0.12
2.422e-07,-0.136
2.442e-07,-0.14
2.462e-07,-0.132
2.482e-07,-0.092
2.502e-07,-0.088
2.522e-07,-0.096
2.542e-07,-0.092
2.562e-07,-0.092
2.582e-07,-0.096
2.602e-07,-0.14
2.622e-07,-0.128
2.642e-07,-0.084
2.662e-07,-0.096
2.682e-07,-0.152
2.702e-07,-0.128
2.722e-07,-0.088
2.742e-07,-0.088
2.762e-07,-0.084
2.782e-07,-0.088
2.802e-07,-0.084
2.822e-07,-0.108
2.842e-07,-0.132
2.862e-07,-0.112
2.882e-07,-0.096
2.902e-07,-0.112
2.922e-07,-0.132
2.942e-07,-0.116
2.962e-07,-0.104
2.982e-07,-0.108
3.002e-07,-0.088
3.022e-07,-0.068
3.042e-07,-0.072
3.062e-07,-0.108
3.082e-07,-0.12
3.102e-07,-0.112
3.122e-07,-0.084
3.142e-07,-0.072
3.162e-07,-0.072
3.182e-07,-0.104
3.202e-07,-0.116
3.222e-07,-0.084
3.242e-07,-0.052
3.262e-07,-0.06
3.282e-07,-0.064
3.302e-07,-0.08
3.322e-07,-0.092
3.342e-07,-0.088
3.362e-07,-0.084
3.382e-07,-0.108
3.402e-07,-0.088
3.422e-07,-0.088
3.442e-07,-0.088
3.462e-07,-0.112
3.482e-07,-0.144
3.502e-07,-0.144
3.522e-07,-0.128
3.542e-07,-0.092
3.562e-07,-0.096
3.582e-07,-0.076
3.602e-07,-0.104
3.622e-07,-0.12
3.642e-07,-0.088
3.662e-07,-0.068
3.682e-07,-0.076
3.702e-07,-0.076
3.722e-07,-0.052
3.742e-07,-0.06
3.762e-07,-0.072
3.782e-07,-0.096
3.802e-07,-0.08
3.822e-07,-0.06
3.842e-07,-0.068
3.862e-07,-0.1
3.882e-07,-0.08
3.902e-07,-0.06
3.922e-07,-0.076
3.942e-07,-0.072
3.962e-07,-0.08
3.982e-07,-0.084
4.002e-07,-0.084
4.022e-07,-0.08
4.042e-07,-0.084
4.062e-07,-0.096
4.082e-07,-0.084
4.102e-07,-0.06
4.122e-07,-0.072
4.142e-07,-0.072
4.162e-07,-0.06
4.182e-07,-0.076
4.202e-07,-0.072
4.222e-07,-0.096
4.242e-07,-0.08
4.262e-07,-0.06
4.282e-07,-0.064
4.302e-07,-0.056
4.322e-07,-0.056
4.342e-07,-0.04
4.362e-07,-0.052
4.382e-07,-0.048
4.402e-07,-0.052
4.422e-07,-0.056
4.442e-07,-0.08
4.462e-07,-0.096
4.482e-07,-0.088
4.502e-07,-0.096
4.522e-07,-0.06
4.542e-07,-0.056
4.562e-07,-0.068
4.582e-07,-0.06
4.602e-07,-0.068
4.622e-07,-0.072
4.642e-07,-0.088
4.662e-07,-0.064
4.682e-07,-0.06
4.702e-07,-0.084
4.722e-07,-0.064
4.742e-07,-0.04
4.762e-07,-0.04
4.782e-07,-0.04
4.802e-07,-0.048
4.822e-07,-0.036
4.842e-07,-0.056
4.862e-07,-0.052
4.882e-07,-0.048
4.902e-07,-0.052
4.922e-07,-0.056
4.942e-07,-0.044
4.962e-07,-0.036
4.982e-07,-0.024
5.002e-07,-0.036
5.022e-07,-0.048
5.042e-07,-0.044
5.062e-07,-0.052
5.082e-07,-0.052
5.102e-07,-0.076
